 .,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
.,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,159514,1075,157346,1093,0,300,267,33,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,252939,4020,246960,1959,0,1027,972,55,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,296534,1418,293826,1290,0,327,317,10,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,180924,1359,178305,1260,0,377,289,88,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,122187,1421,119284,1482,0,166,138,28,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,124866,573,123439,854,0,164,141,23,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,139338,466,137741,1131,0,142,132,9,1,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,148505,1308,146137,1060,0,229,212,17,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,124977,1222,122961,794,0,385,370,15,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,162774,3658,157973,1143,0,992,912,80,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,84104,900,82531,673,0,121,96,25,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,180588,345,179118,1125,0,62,51,11,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,116610,548,115418,644,0,236,212,24,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,1068,0,1065,3,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,3861,49,3790,22,0,13,11,2,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,1096,2,1094,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,3251,26,3208,17,0,0,-2,2,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,513,1,512,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,270,0,270,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,513,2,510,1,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,880,4,873,3,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,2963,61,2875,27,0,6,-1,7,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,754,2,750,2,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,2484,46,2427,11,0,1,1,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,755,17,730,8,0,3,3,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,3054,14,3025,15,0,5,5,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2195,46,2132,17,0,1,-4,5,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,456,3,453,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,18747,364,18285,98,0,33,26,7,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,267,0,267,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,416,1,412,3,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,2654,45,2589,20,0,1,-1,2,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,1114,4,1105,5,0,1,1,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,337,0,335,2,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1022,3,1018,1,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,1960,1,1953,6,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,3697,112,3570,15,0,24,21,3,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1900,34,1860,6,0,1,1,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,6611,6097,447,67,0,18,18,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,14400,13190,1024,186,0,81,81,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,9425,8987,379,59,0,3,3,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,6735,5820,834,81,0,31,30,0,1,,
46,AS,Assam,AS_Cachar,Cachar,26038,24331,1498,209,0,222,222,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,3875,3713,105,57,0,14,14,0,0,,
48,AS,Assam,AS_Chirang,Chirang,2964,2705,219,40,0,21,21,0,0,,
49,AS,Assam,AS_Darrang,Darrang,11805,9956,1730,119,0,14,13,0,1,,
50,AS,Assam,AS_Dhemaji,Dhemaji,8066,7579,440,47,0,21,21,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,8416,7147,1215,54,0,49,49,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,35581,32765,2409,407,0,147,147,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,3845,3628,199,18,0,67,67,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,11501,38,568,91,0,26,26,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,24288,22367,1656,265,0,14,14,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,6639,5489,1116,34,0,69,69,0,0,,
57,AS,Assam,AS_Hojai,Hojai,7997,6721,1160,116,0,42,42,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,27027,24940,1752,335,0,140,140,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,34274,31923,2074,277,0,104,104,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,122287,106007,15370,910,0,870,867,0,3,,
