Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
01-Dec-21,2021-12-01,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Dec-21,2021-12-01,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Dec-21,2021-12-01,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Dec-21,2021-12-02,Confirmed,8302,0,0,0,0,0,0,0,0,0,0,0,50,27,0,732,0,363,4700,0,0,12,767,0,24,0,3,252,0,0,0,0,715,0,0,0,0,657,0
02-Dec-21,2021-12-02,Recovered,7685,0,0,0,0,0,0,0,0,0,0,0,24,18,0,691,0,191,4128,0,0,8,903,0,25,0,6,276,0,0,0,0,748,0,0,0,0,667,0
02-Dec-21,2021-12-02,Deceased,383,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,320,0,0,0,28,0,1,0,2,2,0,0,0,0,12,0,0,0,0,12,0
03-Dec-21,2021-12-03,Confirmed,8078,0,0,0,0,0,0,0,0,0,0,0,45,20,0,181,0,413,4995,0,0,15,796,0,22,0,2,270,0,0,0,0,711,0,0,0,0,608,0
03-Dec-21,2021-12-03,Recovered,7544,0,0,0,0,0,0,0,0,0,0,0,45,16,0,168,0,256,4463,0,0,9,952,0,21,0,7,233,0,0,0,0,759,0,0,0,0,615,0
03-Dec-21,2021-12-03,Deceased,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,269,0,0,0,24,0,1,0,1,3,0,0,0,0,9,0,0,0,0,13,0
04-Dec-21,2021-12-04,Confirmed,6872,0,0,0,0,0,0,0,0,0,0,0,44,17,0,202,0,397,4557,0,0,18,68,0,18,0,6,193,0,0,0,0,731,0,0,0,0,621,0
04-Dec-21,2021-12-04,Recovered,7377,0,0,0,0,0,0,0,0,0,0,0,36,19,0,179,0,277,5108,0,0,10,45,0,68,0,1,257,0,0,0,0,753,0,0,0,0,624,0
04-Dec-21,2021-12-04,Deceased,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,315,0,0,0,100,0,0,0,0,2,0,0,0,0,6,0,0,0,0,11,0
05-Dec-21,2021-12-05,Confirmed,7470,0,0,0,0,0,0,0,0,0,0,0,48,22,0,161,0,456,4450,0,0,9,782,0,9,0,0,189,0,0,0,0,724,0,0,0,0,620,0
